GENE             CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P
ENSG00000177757    1     752751     755217      4       1  5615       1.0656      0.14331
ENSG00000131591    1    1017198    1051741     45       2  5314      -1.2317      0.89096
ENSG00000162571    1    1109264    1133315     21       2  5586     -0.28511      0.61222
ENSG00000186891    1    1138888    1142071      2       1  4847       1.0585      0.14492
ENSG00000078808    1    1152288    1167411     70       2  5798      0.63727      0.26197
ENSG00000176022    1    1167645    1170421      1       1  5737        0.621       0.2673
ENSG00000184163    1    1177826    1182102      6       1  5025     -0.37345      0.64559
ENSG00000260179    1    1185157    1186714      1       1  4969      0.23372       0.4076
ENSG00000131584    1    1227756    1244989      1       1  4808      0.79056       0.2146
ENSG00000169972    1    1243947    1247057      1       1  4811      0.72085       0.2355
ENSG00000127054    1    1246965    1260071      2       1  4809      0.66367      0.25345
ENSG00000160075    1    1477053    1510249      7       1  5413     -0.38591      0.65022
ENSG00000008130    1    1682671    1711896     19       2  5896      -1.0052       0.8426
ENSG00000078369    1    1716724    1822556     70       5  5967     -0.83779      0.79893
ENSG00000231050    1    1822910    1824097      1       1  5681     0.047142       0.4812
ENSG00000169885    1    1846266    1848735      5       1  5869      -1.8639      0.96884
ENSG00000178821    1    1849029    1850712      1       1  5873      -1.3839       0.9168
ENSG00000142609    1    1853390    1935276     30       2  5514      -1.8572      0.96836
ENSG00000067606    1    1981909    2116834    146       9  5845     -0.83029      0.79681
ENSG00000271806    1    2072523    2076718      6       2  6015     -0.28577      0.61247
ENSG00000182873    1    2113233    2115828      1       1  6048     -0.10396       0.5414
ENSG00000162585    1    2115900    2144159      5       2  5797      -0.6338       0.7369
ENSG00000234396    1    2143962    2152177      2       1  4972     -0.84725      0.80157
ENSG00000157933    1    2160134    2241558     19       4  5146       -1.182      0.88139
ENSG00000116151    1    2252692    2323146     61       9  5820     -0.58683      0.72134
ENSG00000157916    1    2323214    2336883      9       2  5478      -0.9971      0.84064
ENSG00000157911    1    2335403    2345236      6       1  5266     -0.16974      0.56739
ENSG00000149527    1    2357419    2436969     14       3  5491     -0.36726      0.64329
ENSG00000157881    1    2439972    2458067     22       1  5838      -1.0376      0.85028
ENSG00000238164    1    2481359    2488470      1       1  5840       1.7593      0.03926
ENSG00000157873    1    2487078    2496821     11       2  5854       1.7353     0.041346
ENSG00000228037    1    2512999    2515972      6       1  5915       1.5346     0.062439
ENSG00000157870    1    2517930    2522908      3       1  6103     -0.81047      0.79116
ENSG00000142606    1    2522078    2564429     90       1  6123     -0.17891        0.571
ENSG00000237058    1    2564007    2568059      8       2  5864       1.2636      0.10318
ENSG00000215912    1    2567415    2718282     52       3  5790       1.1135      0.13275
ENSG00000284745    1    2877223    2885272      4       1  5384       1.7794     0.037585
ENSG00000169717    1    2938047    2939467      2       1  5477    -0.019567      0.50781
ENSG00000142611    1    2985732    3355185    328      40  5579       0.6768      0.24927
ENSG00000272235    1    3223200    3226660      7       1  5945       1.6214     0.052463
ENSG00000130762    1    3370990    3397677     16       2  5525      0.86829      0.19262
ENSG00000162591    1    3406484    3528059     15       6  5009       0.2351      0.40707
ENSG00000238260    1    3539754    3541307      3       1  5494      -0.3411      0.63348
ENSG00000158109    1    3541566    3546691      4       1  5623     -0.72465      0.76567
ENSG00000116213    1    3547331    3569325      7       1  5383      0.26849      0.39416
ENSG00000078900    1    3569084    3652765     27       6  5221     -0.23207      0.59176
ENSG00000227589    1    3575502    3585336      1       1  4166       0.9879       0.1616
ENSG00000162592    1    3663024    3688209      5       2  5034     0.066705      0.47341
ENSG00000130764    1    3695122    3713068     16       3  5610      0.49449      0.31048
ENSG00000116198    1    3728645    3773778    179       9  5952      0.92269      0.17809
ENSG00000169598    1    3773831    3801993      6       1  6007      0.98083      0.16334
ENSG00000198912    1    3805689    3816857     26       3  5759      0.27539      0.39151
ENSG00000236423    1    3816936    3833789     14       2  5596      0.80249      0.21113
ENSG00000233304    1    4000625    4015322      6       1  5355   -0.0090468      0.50361
ENSG00000226374    1    4004607    4009040      5       1  5390   0.00084958      0.49966
ENSG00000284668    1    4036193    4072759     79       7  5724     -0.71478      0.76263
ENSG00000284703    1    4072981    4079568     33       2  5820     -0.43188      0.66708
ENSG00000235054    1    4472087    4484749     34       5  5938     -0.60612      0.72778
ENSG00000232596    1    4631541    4654069     68       7  5663      0.86338      0.19396
ENSG00000196581    1    4714792    4852594    201      34  5725      0.71173      0.23832
ENSG00000284674    1    5033441    5041628     14       2  5198      -0.6893      0.75468
ENSG00000231510    1    5146519    5150959      8       3  5637      -1.0118      0.84418
ENSG00000284616    1    5361988    5367454      1       1  5804     -0.96969       0.8339
ENSG00000284692    1    5538796    5553117     16       3  5611     -0.39183      0.65241
ENSG00000260972    1    5553038    5554734      4       1  5943      -1.0376      0.85028
ENSG00000236948    1    5621769    5728355    151      23  5764      -1.7008      0.95551
ENSG00000131697    1    5922871    6052533    214      13  5649     -0.99586      0.84034
ENSG00000069424    1    6051526    6161253     59       8  5619       1.1906      0.11691
ENSG00000116254    1    6161853    6240183     45       7  5370      -1.2344      0.89148
ENSG00000116251    1    6241329    6269449     18       3  5221      -1.5625      0.94091
ENSG00000158286    1    6265535    6281359      6       2  5307     -0.44475      0.67175
ENSG00000116237    1    6281253    6296032      1       1  5296       0.2345       0.4073
ENSG00000158292    1    6307406    6321035     17       1  5358       0.1512      0.43991
ENSG00000097021    1    6324329    6454451     63       5  5418      0.83456      0.20198
ENSG00000271746    1    6453615    6454451      4       2  5459      0.56803      0.28501
ENSG00000069812    1    6472478    6484730     21       3  5444      0.14366      0.44288
ENSG00000187017    1    6484836    6521427     41       4  5264      0.59815      0.27487
ENSG00000231868    1    6503094    6507066      1       1  4950       1.1542       0.1242
ENSG00000171680    1    6526152    6580121     33       4  5510      0.71901      0.23607
ENSG00000162408    1    6581407    6614595     96       2  5551       1.6316     0.051385
ENSG00000173662    1    6615241    6639817     16       1  5467       1.2872     0.099011
ENSG00000204859    1    6640061    6649340      4       1  4841      0.84974      0.19773
ENSG00000162413    1    6650784    6674667     10       3  5196      0.34502      0.36504
ENSG00000116273    1    6673745    6684093     15       2  5512     0.013997      0.49442
ENSG00000041988    1    6684926    6695646     22       3  5862     -0.84885      0.80202
ENSG00000007923    1    6694228    6761984     91       7  5925      0.04492      0.48209
ENSG00000228750    1    6784697    6790072      7       2  5593     0.041278      0.48354
ENSG00000284744    1    6828014    6830098     11       2  6080     -0.49839      0.69089
ENSG00000237436    1    6843952    6844903      1       1  5681     -0.83131       0.7971
ENSG00000171735    1    6845384    7829766   1126     101  5715      -1.4971      0.93282
ENSG00000237365    1    7068436    7074339     19       4  5690      0.79804      0.21242
ENSG00000237728    1    7442548    7449814     14       2  5890     -0.22817      0.59024
ENSG00000270035    1    7758363    7758932      1       1  6016     -0.41519        0.661
ENSG00000049245    1    7831329    7841492     29       6  5848     -0.25818      0.60186
ENSG00000049246    1    7844380    7905237    178      18  5696      -1.0614      0.85575
ENSG00000236266    1    7870302    7887402     48       8  5796     -0.88508      0.81194
ENSG00000049247    1    7903143    7913572     18       6  5643      -1.0961      0.86349
ENSG00000049249    1    7975954    8003225     10       2  5707     -0.69777      0.75734
