# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
ENSG00000237491    1     714150     745440     16       5  104688      0.12747    3.6082e-16      0.12747
ENSG00000177757    1     752751     755217     11       2  114792     -0.34349    3.3307e-16     -0.34349
ENSG00000225880    1     761586     762902      2       1  110271      -0.2559    3.3307e-16      -0.2559
ENSG00000230368    1     803451     812283     10       3  120884      -1.8863    4.4409e-16      -1.8863
ENSG00000272438    1     840214     851356     32       4  116196      0.35374    3.3307e-16      0.35374
ENSG00000223764    1     852245     856396     17       3  116843      0.53547    3.3307e-16      0.53547
ENSG00000187634    1     859308     879961     49      11  111737     -0.32528    3.3307e-16     -0.32528
ENSG00000188976    1     879584     894689     52       8  114158       1.0218    4.4409e-16       1.0218
ENSG00000187961    1     895967     901095     19       4  111999       1.2519    4.4409e-16       1.2519
ENSG00000187583    1     901877     911245     29      12  120481     -0.58265    3.3307e-16     -0.58265
ENSG00000187642    1     910584     917473     22       5  125937      -1.3629    4.4409e-16      -1.3629
ENSG00000272512    1     931346     933431      9       4  122610      -1.6128    4.4409e-16      -1.6128
ENSG00000188290    1     934342     935552      3       1  125700      -2.1954    4.4409e-16      -2.1954
ENSG00000187608    1     936518     949921     35       6  124944      -2.5941    4.4409e-16      -2.5941
ENSG00000224969    1     947377     948573      2       1  124927      -2.3283    4.4409e-16      -2.3283
ENSG00000188157    1     955503     991498     92      11  126757      -2.3132    4.4409e-16      -2.3132
ENSG00000237330    1    1006346    1009687      8       3  122170     -0.44958    3.3307e-16     -0.44958
ENSG00000131591    1    1017198    1051741    110      13  124191      -1.6597    4.4409e-16      -1.6597
ENSG00000223823    1    1072397    1079436     13       4  123974      -2.0824    4.4409e-16      -2.0824
ENSG00000272141    1    1104737    1105723      3       2  121406      0.46269    3.3307e-16      0.46269
ENSG00000205231    1    1108436    1114935     42       6  127399      0.28284    3.3307e-16      0.28284
ENSG00000162571    1    1109264    1133315    135      18  127025      -1.1534    4.4409e-16      -1.1534
ENSG00000186891    1    1138888    1142071      9       2  126766     -0.23251    3.6082e-16     -0.23251
ENSG00000186827    1    1146706    1149518      8       3  126168     -0.44479    3.3307e-16     -0.44479
ENSG00000078808    1    1152288    1167411     93       6  127872     0.054033    3.4694e-16     0.054033
ENSG00000176022    1    1167645    1170421      7       2  122074      0.14017    3.6082e-16      0.14017
ENSG00000184163    1    1177826    1182102     13       3  123682      0.46579    3.3307e-16      0.46579
ENSG00000260179    1    1185157    1186714      5       2  126434      0.01109    3.5041e-16      0.01109
ENSG00000160087    1    1189289    1209265     48       8  122204     -0.55042    3.3307e-16     -0.55042
ENSG00000230415    1    1210603    1215800     23       5  122308      -1.0814    4.4409e-16      -1.0814
ENSG00000162572    1    1215816    1227409     40      13  125320     -0.49321    3.3307e-16     -0.49321
ENSG00000131584    1    1227756    1244989     42       8  124458    0.0079931    3.5041e-16    0.0079931
ENSG00000169972    1    1243947    1247057      5       3  122572     -0.35831    3.3307e-16     -0.35831
ENSG00000127054    1    1246965    1260071     20       6  124062    -0.022398    3.5041e-16    -0.022398
ENSG00000224051    1    1260136    1264277     11       2  128965       0.9282    3.3307e-16       0.9282
ENSG00000169962    1    1266694    1270686     14       5  126696      0.22471    3.6082e-16      0.22471
ENSG00000107404    1    1270656    1284730     40       9  123736      0.36565    3.3307e-16      0.36565
