# ALPHA = 0.05
# NUMBER_OF_TESTS = 6

# _SET1_  VARIABLE = Up_DEGs_amygdala (set)
# _SET1_  NGENES = 1709
# _SET1_  P-VALUE = 0.000272171
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000131591     1    1017198    1051741    110      13  124191      -1.6597      0.79311    4.4409e-16      -1.6597
_SET1_   ENSG00000107404     1    1270656    1284730     40       9  123736      0.36565      0.16741    3.3307e-16      0.36565
_SET1_   ENSG00000160075     1    1477053    1510249     96      12  124218        1.271     0.017235    4.4409e-16        1.271
_SET1_   ENSG00000078369     1    1716724    1822556    147      20  127076      0.81461     0.044372    3.3307e-16      0.81461
_SET1_   ENSG00000157911     1    2335403    2345236     31       9  128484      0.48028       0.1111    3.3307e-16      0.48028
_SET1_   ENSG00000171603     1    9789084    9884584    119      14  126857      -0.7296      0.50931    3.3307e-16      -0.7296
_SET1_   ENSG00000116726     1   12834984   12838049      6       2  128849      0.93624     0.077635    3.3307e-16      0.93624
_SET1_   ENSG00000239810     1   12884463   12891264     12       3  130644      -2.6108      0.97542    4.4409e-16      -2.6108
_SET1_   ENSG00000179172     1   12907261   12908578      3       1  130644     -0.29219      0.44731    3.3307e-16     -0.29219
_SET1_   ENSG00000142634     1   15736391   15756839     60      17  125579      0.46302      0.10267    3.3307e-16      0.46302
_SET1_   ENSG00000233954     1   16133664   16135843      9       2  129787      -1.2877      0.79825    4.4409e-16      -1.2877
_SET1_   ENSG00000077549     1   19665270   19812033    507      21  129725      0.60868     0.039195    3.3307e-16      0.60868
_SET1_   ENSG00000162545     1   20808884   20812713      4       2  118977       1.1385     0.051038    4.4409e-16       1.1385
_SET1_   ENSG00000244038     1   20978260   20988037     25       5  130247      -2.1099      0.92132    4.4409e-16      -2.1099
_SET1_   ENSG00000070831     1   22379120   22419439     91      14  128431      0.94251     0.048781    3.3307e-16      0.94251
_SET1_   ENSG00000057757     1   24104895   24114722      6       2  130140      0.74028      0.09544    3.3307e-16      0.74028
_SET1_   ENSG00000189266     1   24285599   24289952      5       2  130644      -1.9296      0.90797    4.4409e-16      -1.9296
_SET1_   ENSG00000188529     1   24291294   24307417      5       2  128303      -2.1978      0.95144    4.4409e-16      -2.1978
_SET1_   ENSG00000183726     1   25664408   25688852     27       7  127722     -0.41017      0.35983    3.3307e-16     -0.41017
_SET1_   ENSG00000142669     1   26605667   26608013      5       2  130644       1.2785     0.029705    4.4409e-16       1.2785
_SET1_   ENSG00000090273     1   27226729   27273353     65      10  128994       1.4094     0.018202    4.4409e-16       1.4094
_SET1_   ENSG00000117758     1   28099694   28150963     53       5  121071      -1.2253      0.81394    4.4409e-16      -1.2253
_SET1_   ENSG00000130770     1   28562620   28573417     36       4  129258      0.64308      0.09534    3.3307e-16      0.64308
_SET1_   ENSG00000084623     1   32687529   32697205     13       2  122675     -0.63619      0.55724    3.3307e-16     -0.63619
_SET1_   ENSG00000134684     1   33240838   33283754     69       9  128706     -0.13962      0.27346    3.6082e-16     -0.13962
_SET1_   ENSG00000142686     1   36179476   36185073      7       3  120209       4.0845   1.8034e-06             0       4.0845
_SET1_   ENSG00000054116     1   36602171   36621654     28       5  125307       3.8928   1.9374e-06    4.4409e-16       3.8928
_SET1_   ENSG00000196449     1   38268616   38273857      8       3  123805       2.5881   0.00039379    4.4409e-16       2.5881
_SET1_   ENSG00000197982     1   38272651   38275126      1       1  130644      0.11572        0.243    3.4694e-16      0.11572
_SET1_   ENSG00000116954     1   39303870   39325495     50      12  129852       0.7496     0.068131    3.3307e-16       0.7496
_SET1_   ENSG00000174574     1   39456895   39471731     47       6  130276       1.1401     0.030525    4.4409e-16       1.1401
_SET1_   ENSG00000168653     1   39491990   39500308     27       5  126904       1.3711     0.019439    4.4409e-16       1.3711
_SET1_   ENSG00000116983     1   40144320   40157361     71      12  130204       1.2606     0.020098    4.4409e-16       1.2606
_SET1_   ENSG00000084070     1   40810522   40888998    171      28  129068     -0.31842      0.28576    3.3307e-16     -0.31842
_SET1_   ENSG00000126091     1   44171495   44396837    484      25  128384       3.6026   9.6868e-07    4.4409e-16       3.6026
_SET1_   ENSG00000117410     1   44440159   44443967      8       4  120970       1.7099    0.0093645    4.4409e-16       1.7099
_SET1_   ENSG00000117411     1   44444615   44456842     18       5  128556       2.1462    0.0028101    4.4409e-16       2.1462
_SET1_   ENSG00000132763     1   45965725   45979054     23       5  128697     -0.74866      0.50956    3.3307e-16     -0.74866
_SET1_   ENSG00000159596     1   46152886   46160115     12       2  129943     -0.40763      0.41543    3.3307e-16     -0.40763
_SET1_   ENSG00000173660     1   46769303   46782448     20       7  126967      -2.0707      0.91496    4.4409e-16      -2.0707
_SET1_   ENSG00000162374     1   50513686   50669458    186      30  128877       3.2168   1.9993e-05    4.4409e-16       3.2168
_SET1_   ENSG00000123091     1   51701943   51739127     34       6  128357      0.42723      0.17092    3.3307e-16      0.42723
_SET1_   ENSG00000174348     1   53527724   53551174    110      13  130107     -0.43757       0.4062    3.3307e-16     -0.43757
_SET1_   ENSG00000243725     1   55181495   55208330    140       4  130010      0.13839      0.24083    3.6082e-16      0.13839
_SET1_   ENSG00000006555     1   55245385   55266940     64      12  129865      0.18204      0.17529    3.6082e-16      0.18204
_SET1_   ENSG00000177606     1   59246460   59249999      2       1  130644       1.8555     0.017243    4.4409e-16       1.8555
_SET1_   ENSG00000134709     1   60280458   60342050    129      18  121416      0.10483      0.18344    3.4694e-16      0.10483
_SET1_   ENSG00000162604     1   62146718   62191095     92      10  127040    -0.013991      0.21086    3.5041e-16    -0.013991
_SET1_   ENSG00000162434     1   65298912   65432187    358      29  128059       1.1155     0.017027    4.4409e-16       1.1155
_SET1_   ENSG00000162433     1   65613232   65697828    192      18  127758       2.2836   0.00075138    4.4409e-16       2.2836
