GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000237491    1     714150     745440     16       5  104688      0.59488      0.27596
ENSG00000177757    1     752751     755217     11       2  114792      0.22362      0.41153
ENSG00000225880    1     761586     762902      2       1  110271      0.18366      0.42714
ENSG00000230368    1     803451     812283     10       3  120884      -1.2421       0.8929
ENSG00000272438    1     840214     851356     32       4  116196       1.1083      0.13386
ENSG00000223764    1     852245     856396     17       3  116843       1.2828     0.099786
ENSG00000187634    1     859308     879961     49      11  111737      0.41637      0.33857
ENSG00000188976    1     879584     894689     52       8  114158       1.6831     0.046177
ENSG00000187961    1     895967     901095     19       4  111999       1.7727     0.038137
ENSG00000187583    1     901877     911245     29      12  120481      0.23624      0.40662
ENSG00000187642    1     910584     917473     22       5  125937     -0.62467      0.73391
ENSG00000272512    1     931346     933431      9       4  122610     -0.91322      0.81944
ENSG00000188290    1     934342     935552      3       1  125700      -1.6562      0.95116
ENSG00000187608    1     936518     949921     35       6  124944      -1.8665      0.96902
ENSG00000224969    1     947377     948573      2       1  124927      -1.9493      0.97437
ENSG00000188157    1     955503     991498     92      11  126757      -1.4977       0.9329
ENSG00000237330    1    1006346    1009687      8       3  122170      0.30817      0.37897
ENSG00000131591    1    1017198    1051741    110      13  124191     -0.81726      0.79311
ENSG00000223823    1    1072397    1079436     13       4  123974      -1.3698      0.91463
ENSG00000272141    1    1104737    1105723      3       2  121406       1.1301      0.12923
ENSG00000205231    1    1108436    1114935     42       6  127399      0.88774      0.18734
ENSG00000162571    1    1109264    1133315    135      18  127025     -0.35595      0.63906
ENSG00000186891    1    1138888    1142071      9       2  126766      0.24821      0.40199
ENSG00000186827    1    1146706    1149518      8       3  126168      0.09026      0.46404
ENSG00000078808    1    1152288    1167411     93       6  127872      0.67352      0.25031
ENSG00000176022    1    1167645    1170421      7       2  122074      0.31187      0.37757
ENSG00000184163    1    1177826    1182102     13       3  123682       1.0144      0.15518
ENSG00000260179    1    1185157    1186714      5       2  126434      0.46501      0.32096
ENSG00000160087    1    1189289    1209265     48       8  122204    -0.040673      0.51622
ENSG00000230415    1    1210603    1215800     23       5  122308     -0.54709      0.70784
ENSG00000162572    1    1215816    1227409     40      13  125320     0.088213      0.46485
ENSG00000131584    1    1227756    1244989     42       8  124458      0.60964      0.27105
ENSG00000169972    1    1243947    1247057      5       3  122572      0.22037      0.41279
ENSG00000127054    1    1246965    1260071     20       6  124062      0.60673      0.27202
ENSG00000224051    1    1260136    1264277     11       2  128965        1.348     0.088837
ENSG00000169962    1    1266694    1270686     14       5  126696      0.69688      0.24294
ENSG00000107404    1    1270656    1284730     40       9  123736      0.96445      0.16741
ENSG00000162576    1    1288069    1297157     27       5  125208       0.8525      0.19697
ENSG00000175756    1    1309110    1310875      7       3  124151       1.0994      0.13579
ENSG00000221978    1    1321091    1334708     19       8  124290      0.89689      0.18489
ENSG00000242485    1    1337288    1342693     12       5  127606      0.89722       0.1848
ENSG00000272455    1    1344476    1345998      4       1  128082      0.46888      0.31958
ENSG00000235098    1    1353800    1357149      9       4  120411      0.31729      0.37551
ENSG00000225905    1    1355625    1358071      6       3  118878     -0.17333      0.56881
ENSG00000205116    1    1361508    1363167      7       3  126959     -0.16239       0.5645
ENSG00000225285    1    1365919    1369953     11       3  127293       0.5991      0.27455
ENSG00000179403    1    1370241    1378262     17       4  126142        1.301     0.096623
ENSG00000215915    1    1385069    1405538     41       8  125633       1.2951     0.097646
ENSG00000160072    1    1407149    1433228     31       9  122990       1.8127     0.034942
ENSG00000197785    1    1447531    1470067     63      11  121579        1.834     0.033331
ENSG00000205090    1    1470554    1475833      8       3  125589       2.2707     0.011582
ENSG00000160075    1    1477053    1510249     96      12  124218       2.1145     0.017235
