GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000237491    1     714150     745440      2       1  807553     -0.16693      0.56629
ENSG00000177757    1     752751     755217      4       1  807553      0.58076       0.2807
ENSG00000225880    1     761586     762902      3       1  807553      0.57339      0.28319
ENSG00000230368    1     803451     812283      4       1  807553       1.0499      0.14689
ENSG00000272438    1     840214     851356      2       1  807553      0.85367      0.19665
ENSG00000187583    1     901877     911245      1       1  807553    -0.012784       0.5051
ENSG00000187642    1     910584     917473      2       1  807553       1.1226       0.1308
ENSG00000272512    1     931346     933431      1       1  807553       2.2714      0.01156
ENSG00000187608    1     936518     949921     10       1  807553       1.4568     0.072589
ENSG00000188157    1     955503     991498     10       1  807553       0.7111      0.23851
ENSG00000237330    1    1006346    1009687      4       1  807553      0.85714      0.19568
ENSG00000131591    1    1017198    1051741     87       7  807553     -0.11842      0.54713
ENSG00000223823    1    1072397    1079436      2       1  807553     -0.45734      0.67629
ENSG00000272141    1    1104737    1105723      1       1  807553     -0.96329       0.8323
ENSG00000162571    1    1109264    1133315     31       3  807553     -0.38156      0.64861
ENSG00000186891    1    1138888    1142071      2       1  807553      0.14517      0.44229
ENSG00000186827    1    1146706    1149518      4       1  807553       1.1297       0.1293
ENSG00000078808    1    1152288    1167411     69       2  807553      0.74158      0.22917
ENSG00000176022    1    1167645    1170421      1       1  807553       1.4923      0.06781
ENSG00000184163    1    1177826    1182102      9       2  807553      0.92085      0.17857
ENSG00000260179    1    1185157    1186714      3       1  807553      0.99129      0.16077
ENSG00000160087    1    1189289    1209265     28       3  807553       1.7099     0.043643
ENSG00000230415    1    1210603    1215800     18       3  807553       1.6007     0.054716
ENSG00000162572    1    1215816    1227409      8       2  807553       1.2837     0.099616
ENSG00000131584    1    1227756    1244989     17       3  807553      0.99878      0.15895
ENSG00000169972    1    1243947    1247057      2       1  807553  -0.00048867      0.50019
ENSG00000127054    1    1246965    1260071     10       3  807553      0.37626      0.35336
ENSG00000224051    1    1260136    1264277      4       1  807553       1.2002      0.11502
ENSG00000169962    1    1266694    1270686      4       2  807553       1.2534      0.10503
ENSG00000107404    1    1270656    1284730      9       2  807553       1.1889      0.11724
ENSG00000162576    1    1288069    1297157     18       3  807553      0.51471      0.30338
ENSG00000175756    1    1309110    1310875      8       3  807553      0.77385      0.21951
ENSG00000221978    1    1321091    1334708     13       3  807553      0.59845      0.27477
ENSG00000242485    1    1337288    1342693     10       3  807553      0.64993      0.25787
ENSG00000272455    1    1344476    1345998      7       2  807553       1.1475      0.12559
ENSG00000235098    1    1353800    1357149      5       2  807553      0.91522      0.18004
ENSG00000225905    1    1355625    1358071      3       1  807553      0.58741      0.27846
ENSG00000205116    1    1361508    1363167      3       1  807553     -0.16075      0.56386
ENSG00000225285    1    1365919    1369953      9       2  807553     -0.27098       0.6068
ENSG00000179403    1    1370241    1378262      9       1  807553     -0.50255      0.69236
ENSG00000215915    1    1385069    1405538      6       2  807553      -1.5814       0.9431
ENSG00000160072    1    1407149    1433228      3       2  807553     0.068896      0.47254
ENSG00000197785    1    1447531    1470067     40       4  807553     -0.16932      0.56723
ENSG00000205090    1    1470554    1475833      6       2  807553      0.49478      0.31038
ENSG00000160075    1    1477053    1510249     56       4  807553      0.47305      0.31809
ENSG00000215014    1    1510355    1512455      4       1  807553     -0.78276      0.78312
ENSG00000248333    1    1570603    1650919      6       1  807553     -0.61895      0.73203
ENSG00000008128    1    1634169    1655763     15       1  807553     -0.66731      0.74771
ENSG00000215790    1    1656277    1677438     17       2  807553       0.3902      0.34819
ENSG00000008130    1    1682671    1711896     55       6  807553      -1.0843      0.86088
ENSG00000078369    1    1716724    1822556    120      11  807553     -0.31988      0.62547
ENSG00000231050    1    1822910    1824097      2       1  807553      0.30772      0.37915
ENSG00000169885    1    1846266    1848735     11       3  807553      -1.3046      0.90399
ENSG00000178821    1    1849029    1850712      6       3  807553      -1.5004      0.93324
ENSG00000142609    1    1853390    1935276    219      17  807553      -2.1949      0.98591
ENSG00000067606    1    1981909    2116834    320      18  807553   -0.0005686      0.50023
ENSG00000271806    1    2072523    2076718      7       2  807553      0.39062      0.34804
ENSG00000182873    1    2113233    2115828      3       2  807553      0.40695      0.34202
ENSG00000162585    1    2115900    2144159     42       7  807553     -0.96211        0.832
ENSG00000234396    1    2143962    2152177     17       5  807553     0.048941      0.48048
ENSG00000157933    1    2160134    2241558    166      25  807553     -0.63955      0.73877
ENSG00000116151    1    2252692    2323146    205      28  807553       1.6072      0.05401
ENSG00000157916    1    2323214    2336883     25       6  807553      0.30287      0.38099
ENSG00000157911    1    2335403    2345236     20       6  807553       1.2463      0.10633
ENSG00000149527    1    2357419    2436969     60      11  807553       1.5908     0.055829
ENSG00000224387    1    2423739    2424697      2       1  807553      0.96582      0.16707
ENSG00000229393    1    2424876    2425918      2       1  807553       1.2335      0.10869
ENSG00000157881    1    2439972    2458067     34       4  807553        1.104       0.1348
ENSG00000197921    1    2460184    2461684      3       2  807553      0.52954      0.29822
ENSG00000272449    1    2461503    2478899     32       6  807553       1.8117     0.035018
ENSG00000238164    1    2481359    2488470     11       2  807553      0.49707      0.30957
ENSG00000157873    1    2487078    2496821     20       4  807553      0.80483      0.21046
ENSG00000228037    1    2512999    2515972      7       2  807553      0.83054      0.20312
ENSG00000157870    1    2517930    2522908     10       4  807553    -0.049782      0.51985
ENSG00000142606    1    2522078    2564429    145       7  807553      0.88095      0.18917
ENSG00000237058    1    2564007    2568059     14       4  807553      0.75434      0.22532
ENSG00000215912    1    2567415    2718282    103      10  807553      0.44668      0.32755
ENSG00000284745    1    2877223    2885272      4       1  807553      -2.1406      0.98385
ENSG00000169717    1    2938047    2939467      2       1  807553       2.0336     0.020994
ENSG00000177133    1    2976179    2985001      9       3  807553       2.0899     0.018312
ENSG00000142611    1    2985732    3355185   1000     115  807553     -0.19923      0.57896
ENSG00000272235    1    3223200    3226660     16       4  807553     -0.42619      0.66502
ENSG00000130762    1    3370990    3397677     78       7  807553     -0.58421      0.72046
ENSG00000162591    1    3406484    3528059    101      21  807553     -0.44931      0.67339
ENSG00000238260    1    3539754    3541307      5       2  807553     -0.31589      0.62396
ENSG00000158109    1    3541566    3546691     10       3  807553     -0.79853      0.78772
ENSG00000116213    1    3547331    3569325     31       7  807553      -1.8032      0.96432
ENSG00000078900    1    3569084    3652765    167      28  807553     -0.12874      0.55122
ENSG00000227589    1    3575502    3585336     11       3  807553      0.91552      0.17996
ENSG00000235131    1    3628764    3630862      7       3  807553    -0.061426      0.52449
ENSG00000162592    1    3663024    3688209     72      12  807553      0.19751      0.42172
ENSG00000235169    1    3689325    3692546     12       5  807553      0.51539      0.30314
ENSG00000130764    1    3695122    3713068     83      12  807553    -0.064563      0.52574
ENSG00000272153    1    3701572    3702102      3       1  807553     -0.56758      0.71484
ENSG00000116198    1    3728645    3773778    286      15  807553     -0.33544      0.63135
ENSG00000169598    1    3773831    3801993    146      17  807553     -0.12789      0.55088
ENSG00000198912    1    3805689    3816857     36       5  807553       1.2047      0.11416
ENSG00000236423    1    3816936    3833789     47       7  807553       1.3011     0.096617
ENSG00000233304    1    4000625    4015322     80      12  807553      -1.1679      0.87858
ENSG00000226374    1    4004607    4009040     35       5  807553     -0.66408      0.74668
ENSG00000284668    1    4036193    4072759    140      15  807553      0.76936      0.22084
ENSG00000284703    1    4072981    4079568     34       3  807553     -0.18276       0.5725
ENSG00000235054    1    4472087    4484749     55      13  807553      0.26273      0.39638
ENSG00000284694    1    4539191    4544435     21       5  807553       2.5735     0.005034
ENSG00000232596    1    4631541    4654069    127      20  807553      0.71559      0.23712
ENSG00000196581    1    4714792    4852594    708      84  807553       0.5659      0.28573
ENSG00000284674    1    5033441    5041628     40      11  807553    -0.067088      0.52674
