"gene"	"cellType.target"	"mean.target"	"cellType.2nd"	"mean.2nd"	"MeanRatio"	"MeanRatio.rank"	"MeanRatio.anno"	"Cell_type_resolution"
"COBLL1"	"Endothelial"	0.989305944864323	"ExN"	0.2796996873892	3.53702914042843	1	"Endothelial/ExN: 3.537"	"Broad"
"SPARC"	"Endothelial"	1.08591231956329	"Astrocyte"	0.355440976533894	3.05511291959816	2	"Endothelial/Astrocyte: 3.055"	"Broad"
"ARHGAP29"	"Endothelial"	0.927446568721248	"ExN"	0.31080252686204	2.98403805813627	3	"Endothelial/ExN: 2.984"	"Broad"
"IFITM3"	"Endothelial"	0.808956706394449	"Astrocyte"	0.281118011442542	2.87764096737641	4	"Endothelial/Astrocyte: 2.878"	"Broad"
"SERF2"	"Endothelial"	0.848181624891429	"Microglia"	0.33961786038504	2.49745883190539	5	"Endothelial/Microglia: 2.497"	"Broad"
"EEF2"	"Endothelial"	0.790955902539322	"Microglia"	0.325813507710915	2.42763385746767	6	"Endothelial/Microglia: 2.428"	"Broad"
"SRP14"	"Endothelial"	0.952981966661653	"Astrocyte"	0.39353444529466	2.42159734187462	7	"Endothelial/Astrocyte: 2.422"	"Broad"
"UBB"	"Endothelial"	0.764159687441072	"Oligodendrocyte"	0.31647819668291	2.41457293251298	8	"Endothelial/Oligodendrocyte: 2.415"	"Broad"
"EPAS1"	"Endothelial"	1.02496747302251	"Astrocyte"	0.425200947122427	2.41054842412521	9	"Endothelial/Astrocyte: 2.411"	"Broad"
"RPL8"	"Endothelial"	0.836269247568511	"Microglia"	0.34813236760903	2.4021588492676	10	"Endothelial/Microglia: 2.402"	"Broad"
"RPSA"	"Endothelial"	0.763577894696614	"Oligodendrocyte"	0.318690185986328	2.39598810466467	11	"Endothelial/Oligodendrocyte: 2.396"	"Broad"
"RPL36"	"Endothelial"	0.847953941161162	"Microglia"	0.367473267551041	2.30752551556253	12	"Endothelial/Microglia: 2.308"	"Broad"
"PEA15"	"Endothelial"	0.976031453773759	"ExN"	0.42376769892514	2.30322286537979	13	"Endothelial/ExN: 2.303"	"Broad"
"ADIRF"	"Endothelial"	0.845739329961443	"Astrocyte"	0.368077345209097	2.29772177225685	14	"Endothelial/Astrocyte: 2.298"	"Broad"
"AC105402.3"	"Endothelial"	1.02803617550288	"InN"	0.450127871145604	2.28387585262486	15	"Endothelial/InN: 2.284"	"Broad"
