"Ontology"	"DEGs_set"	"ID"	"Description"	"Count"	"GeneRatio"	"BgRatio"	"FoldEnrichment"	"pvalue"	"p.adjust"	"geneID"
"BP"	"Unique in Hb - Up"	"GO:0050803"	"regulation of synapse structure or activity"	20	"20/179"	"413/18913"	5.11666914659056	2.48712030402355e-09	6.94155276852973e-06	"Cttnbp2, Zfp804a, Gria4, Farp1, Slitrk6, Il1rapl1, Adgrb1, Dbn1, Cdkl5, Lrrn1, Il1rap, Shank3, Rock1, Elmo1, Arhgap44, Cacna2d3, Lingo2, Kalrn, Prmt8, Syndig1"
"BP"	"Unique in Hb - Up"	"GO:0050807"	"regulation of synapse organization"	19	"19/179"	"406/18913"	4.94464320114484	1.11161077887276e-08	1.3051466384998e-05	"Cttnbp2, Zfp804a, Farp1, Slitrk6, Il1rapl1, Adgrb1, Dbn1, Cdkl5, Lrrn1, Il1rap, Shank3, Rock1, Elmo1, Arhgap44, Cacna2d3, Lingo2, Kalrn, Prmt8, Syndig1"
"BP"	"Unique in Hb - Up"	"GO:0060078"	"regulation of postsynaptic membrane potential"	13	"13/179"	"177/18913"	7.76028153899568	1.40288065764937e-08	1.3051466384998e-05	"Grik1, Grm1, Rgs7, Gria4, Rgs4, Adora1, Gabra4, Dbn1, Shank3, Cacna1c, Rgs7bp, Gabrb2, Cx3cl1"
"BP"	"Unique in Hb - Up"	"GO:0007215"	"glutamate receptor signaling pathway"	8	"8/179"	"57/18913"	14.8293639125747	6.12407934556138e-08	4.27307636336545e-05	"Grik1, Grm1, Gria4, Grm7, Unc13a, Shank3, Grm4, Cx3cl1"
"BP"	"Unique in Hb - Up"	"GO:0007626"	"locomotory behavior"	15	"15/179"	"282/18913"	5.62017116367526	8.04391565864314e-08	4.4901137206546e-05	"Kcnj10, Npas2, Grm1, Scn1a, Fign, Slitrk6, Prex2, Dbn1, Shank3, Cacna1c, Ncor1, Adcy8, Kalrn, Adra1b, Cacnb4"
"BP"	"Unique in Hb - Up"	"GO:0051480"	"regulation of cytosolic calcium ion concentration"	9	"9/179"	"85/18913"	11.1874465987512	1.10577479447954e-07	5.14369575232067e-05	"Grm1, Trpc3, Adora1, Atp2b1, Grid2ip, Adcy8, Tspoap1, Cacnb2, Cacnb4"
"BP"	"Unique in Hb - Up"	"GO:0021675"	"nerve development"	10	"10/179"	"122/18913"	8.66059162927008	2.47558456132534e-07	9.87050930094148e-05	"Kcnj10, Kcnq3, Scn1a, Slitrk6, Col25a1, Unc13a, Cacna1c, Prkcg, Adarb1, Gabrb2"
"BP"	"Unique in Hb - Up"	"GO:0035296"	"regulation of tube diameter"	12	"12/179"	"204/18913"	6.21524811041735	5.75892562305976e-07	0.000153124716733307	"Agtr2, Adora1, Atp2b1, Chrm3, Cacna1g, Rock1, Cacna1c, Adra2b, Adra1b, Irag1, Cx3cl1, Ptger3"
"BP"	"Unique in Hb - Up"	"GO:0097746"	"blood vessel diameter maintenance"	12	"12/179"	"204/18913"	6.21524811041735	5.75892562305976e-07	0.000153124716733307	"Agtr2, Adora1, Atp2b1, Chrm3, Cacna1g, Rock1, Cacna1c, Adra2b, Adra1b, Irag1, Cx3cl1, Ptger3"
"BP"	"Unique in Hb - Up"	"GO:0007015"	"actin filament organization"	18	"18/179"	"473/18913"	4.02085818559769	5.99307759819349e-07	0.000153124716733307	"Cit, Rapgef3, Pakap, Rgs4, Gas2, Sorbs1, Bcl2, Mical2, Coro6, Dbn1, Shank3, Elmo1, Prkcd, Capn1, Myo1b, Synpo2, Hip1, Cx3cl1"
