"gene"	"cellType.target"	"mean.target"	"cellType.2nd"	"mean.2nd"	"MeanRatio"	"MeanRatio.rank"	"MeanRatio.anno"	"Cell_type_resolution"
"C1ql1"	"OPC"	1.74981310160249	"Oligodendrocytes"	0.0748793937441674	23.3684197227997	1	"OPC/Oligodendrocytes: 23.368"	"Main"
"Col5a3"	"OPC"	1.94278069298888	"Microglia"	0.095184674564211	20.4106459562279	2	"OPC/Microglia: 20.411"	"Main"
"Pdgfra"	"OPC"	2.38409363081888	"Endothelial"	0.129085341266793	18.4691275354918	3	"OPC/Endothelial: 18.469"	"Main"
"Sema3d"	"OPC"	1.13646310912681	"ExNeuron"	0.0843574200767932	13.4719993581151	4	"OPC/ExNeuron: 13.472"	"Main"
"Vcan"	"OPC"	1.93828480367222	"Astrocytes"	0.163960497370962	11.8216572573992	5	"OPC/Astrocytes: 11.822"	"Main"
"AABR07044668.1"	"OPC"	1.74994195611662	"ExNeuron"	0.178145284619633	9.82311690064101	6	"OPC/ExNeuron: 9.823"	"Main"
"Pstpip2"	"OPC"	1.72855669427793	"Oligodendrocytes"	0.185393922535741	9.32369664892705	7	"OPC/Oligodendrocytes: 9.324"	"Main"
"Pcdh15"	"OPC"	2.61087276576306	"ExNeuron"	0.331304790100548	7.88057656809212	8	"OPC/ExNeuron: 7.881"	"Main"
"Megf11"	"OPC"	1.74518924959924	"ExNeuron"	0.261829068155972	6.66537623912571	9	"OPC/ExNeuron: 6.665"	"Main"
"Abtb2"	"OPC"	1.20747230420898	"Oligodendrocytes"	0.183777382352852	6.57029874269641	10	"OPC/Oligodendrocytes: 6.57"	"Main"
"Sulf2"	"OPC"	1.6993881060226	"Oligodendrocytes"	0.361855460739598	4.6963174261602	11	"OPC/Oligodendrocytes: 4.696"	"Main"
"Cspg4"	"OPC"	1.41102964227278	"Endothelial"	0.390826449699553	3.61037397381242	12	"OPC/Endothelial: 3.61"	"Main"
"AABR07033720.1"	"OPC"	1.98120146475869	"ExNeuron"	0.601280690369832	3.29496938200377	13	"OPC/ExNeuron: 3.295"	"Main"
"Emid1"	"OPC"	1.26057027236008	"ExNeuron"	0.399245457515729	3.1573816273424	14	"OPC/ExNeuron: 3.157"	"Main"
"Sema5a"	"OPC"	1.25740486380862	"ExNeuron"	0.39856467709063	3.15483266853249	15	"OPC/ExNeuron: 3.155"	"Main"
"Agmo"	"OPC"	1.22843088935023	"Oligodendrocytes"	0.412210489259839	2.98010584727233	16	"OPC/Oligodendrocytes: 2.98"	"Main"
"Calcrl"	"OPC"	1.45761342778235	"Endothelial"	0.491392288542337	2.96629284131871	17	"OPC/Endothelial: 2.966"	"Main"
"Cacng4"	"OPC"	1.08704962144268	"InhNeuron"	0.369929740753779	2.93852994686959	18	"OPC/InhNeuron: 2.939"	"Main"
"Epn2"	"OPC"	2.40656711192683	"ExNeuron"	0.837016286986348	2.87517357707769	19	"OPC/ExNeuron: 2.875"	"Main"
"Usp24"	"OPC"	1.80636326470975	"InhNeuron"	0.64699756704627	2.79191662645089	20	"OPC/InhNeuron: 2.792"	"Main"
"Dscam"	"OPC"	1.53693717667799	"ExNeuron"	0.575446866822986	2.67085853671138	21	"OPC/ExNeuron: 2.671"	"Main"
"Sh3d19"	"OPC"	1.39195771374025	"Oligodendrocytes"	0.533923427371094	2.60703621977012	22	"OPC/Oligodendrocytes: 2.607"	"Main"
"Cntn6"	"OPC"	1.3113750224296	"ExNeuron"	0.59381433338903	2.20839233526967	23	"OPC/ExNeuron: 2.208"	"Main"
"Brinp3"	"OPC"	2.66596990278379	"ExNeuron"	1.27392326701411	2.09272408457727	24	"OPC/ExNeuron: 2.093"	"Main"
"Zcchc24"	"OPC"	1.17169924448009	"Astrocytes"	0.560598091156667	2.09008782399269	25	"OPC/Astrocytes: 2.09"	"Main"
"Spon1"	"OPC"	1.82950186958638	"ExNeuron"	0.876410707055873	2.08749374563465	26	"OPC/ExNeuron: 2.087"	"Main"
"Arhgap31"	"OPC"	2.29907000018052	"Endothelial"	1.13168747834723	2.03154143186085	27	"OPC/Endothelial: 2.032"	"Main"
"Itga9"	"OPC"	1.19580745800038	"Microglia"	0.593712046439807	2.01412025437422	28	"OPC/Microglia: 2.014"	"Main"
"Chst11"	"OPC"	1.80112879514139	"Astrocytes"	0.905901435946194	1.98821717647477	29	"OPC/Astrocytes: 1.988"	"Main"
"Serpine2"	"OPC"	1.37326989761884	"Astrocytes"	0.693403848149733	1.98047631446414	30	"OPC/Astrocytes: 1.98"	"Main"
"Cask"	"OPC"	1.69455136410023	"ExNeuron"	0.859371400684905	1.97184984600337	31	"OPC/ExNeuron: 1.972"	"Main"
"Nav1"	"OPC"	1.6746890273119	"ExNeuron"	0.852695069895533	1.96399520348707	32	"OPC/ExNeuron: 1.964"	"Main"
"Pcmtd2"	"OPC"	1.11569249895596	"ExNeuron"	0.591826704378269	1.88516755107903	33	"OPC/ExNeuron: 1.885"	"Main"
"Thsd7a"	"OPC"	1.30073001186796	"InhNeuron"	0.694567793297556	1.87271858041757	34	"OPC/InhNeuron: 1.873"	"Main"
"Pid1"	"OPC"	1.48293093756054	"InhNeuron"	0.802817953343119	1.84715716855269	35	"OPC/InhNeuron: 1.847"	"Main"
"Tpm1"	"OPC"	1.44037163814994	"ExNeuron"	0.787666912299347	1.82865576255479	36	"OPC/ExNeuron: 1.829"	"Main"
"Sgcd"	"OPC"	1.22294402427615	"ExNeuron"	0.678084173210637	1.80352834145305	37	"OPC/ExNeuron: 1.804"	"Main"
"Ptprt"	"OPC"	1.79986198863913	"InhNeuron"	1.00474680780932	1.79135875292146	38	"OPC/InhNeuron: 1.791"	"Main"
"Lrp1"	"OPC"	1.22479621994684	"Astrocytes"	0.684015869439603	1.79059620495396	39	"OPC/Astrocytes: 1.791"	"Main"
"Rnf144a"	"OPC"	1.23105605422917	"Astrocytes"	0.688407308566133	1.7882669735063	40	"OPC/Astrocytes: 1.788"	"Main"
"Cntn1"	"OPC"	1.7784247565282	"ExNeuron"	1.0444402540821	1.70275393884656	41	"OPC/ExNeuron: 1.703"	"Main"
"Ryr3"	"OPC"	1.77553028454455	"ExNeuron"	1.05679309524409	1.68011154930423	42	"OPC/ExNeuron: 1.68"	"Main"
"Olig1"	"OPC"	1.52335448940527	"Oligodendrocytes"	0.920791886195702	1.65439608259266	43	"OPC/Oligodendrocytes: 1.654"	"Main"
"Ankrd28"	"OPC"	1.62032068353438	"Oligodendrocytes"	1.02288807583849	1.5840644952344	44	"OPC/Oligodendrocytes: 1.584"	"Main"
"Nrxn2"	"OPC"	1.51981579285826	"InhNeuron"	0.979828280535745	1.55110423229187	45	"OPC/InhNeuron: 1.551"	"Main"
"Tnr"	"OPC"	1.93842401817904	"ExNeuron"	1.28534886413328	1.50809175023944	46	"OPC/ExNeuron: 1.508"	"Main"
