"gene"	"cellType.target"	"mean.target"	"cellType.2nd"	"mean.2nd"	"MeanRatio"	"MeanRatio.rank"	"MeanRatio.anno"	"Cell_type_resolution"
"HTR4"	"LHb"	2.01188532341159	"MHb"	0.317559233743434	6.33546472478599	1	"LHb/MHb: 6.335"	"Broad"
"BVES"	"LHb"	0.753286349256815	"Oligo"	0.192912538872712	3.90480760690133	2	"LHb/Oligo: 3.905"	"Broad"
"NRP1"	"LHb"	2.46086999144433	"Excit.Thal"	0.884993332216275	2.78066500826804	3	"LHb/Excit.Thal: 2.781"	"Broad"
"HTR2C"	"LHb"	3.76367662056979	"Excit.Thal"	1.40886038335764	2.67143335495039	4	"LHb/Excit.Thal: 2.671"	"Broad"
"CDH4"	"LHb"	2.56567208596765	"Excit.Thal"	0.974021895423897	2.63410103820208	5	"LHb/Excit.Thal: 2.634"	"Broad"
"COL25A1"	"LHb"	4.2099558941935	"Excit.Thal"	1.74187970485471	2.4169039242263	6	"LHb/Excit.Thal: 2.417"	"Broad"
"CBLN2"	"LHb"	1.59513265778936	"Excit.Thal"	0.668880332579737	2.38478032630629	7	"LHb/Excit.Thal: 2.385"	"Broad"
"CACNA1I"	"LHb"	0.60256694820294	"Excit.Thal"	0.263730522658846	2.28478274766248	8	"LHb/Excit.Thal: 2.285"	"Broad"
"WSCD2"	"LHb"	0.914345778181123	"Inhib.Thal"	0.423175896431337	2.16067546826709	9	"LHb/Inhib.Thal: 2.161"	"Broad"
"SOX1-OT"	"LHb"	1.05984515683759	"OPC"	0.504042086479325	2.10269178956956	10	"LHb/OPC: 2.103"	"Broad"
"AC092969.1"	"LHb"	0.739405213070469	"Inhib.Thal"	0.358874251314705	2.06034623649293	11	"LHb/Inhib.Thal: 2.06"	"Broad"
"MDGA1"	"LHb"	0.775338720300394	"Inhib.Thal"	0.399661515535339	1.93998844062292	12	"LHb/Inhib.Thal: 1.94"	"Broad"
"GALR1"	"LHb"	1.34932580552734	"MHb"	0.70250775350857	1.92072727850808	13	"LHb/MHb: 1.921"	"Broad"
"TRAM2"	"LHb"	0.920230643086639	"Endo"	0.504229743745091	1.8250225309038	14	"LHb/Endo: 1.825"	"Broad"
"ADCYAP1"	"LHb"	1.1515855125322	"MHb"	0.648557750031216	1.77560982422425	15	"LHb/MHb: 1.776"	"Broad"
"TEX2"	"LHb"	1.26599474949338	"Excit.Thal"	0.731557854618046	1.73054631496557	16	"LHb/Excit.Thal: 1.731"	"Broad"
"AL078604.4"	"LHb"	0.879774675798162	"Astrocyte"	0.509956052194225	1.72519704788813	17	"LHb/Astrocyte: 1.725"	"Broad"
"AL391807.1"	"LHb"	1.11242424359381	"Excit.Thal"	0.669198442274311	1.66232342055844	18	"LHb/Excit.Thal: 1.662"	"Broad"
"TLL1"	"LHb"	2.64694146454584	"Excit.Thal"	1.59349845249545	1.66108819271251	19	"LHb/Excit.Thal: 1.661"	"Broad"
"NTNG2"	"LHb"	0.783256966568769	"Astrocyte"	0.476846888467554	1.64257539581715	20	"LHb/Astrocyte: 1.643"	"Broad"
"EPHA5-AS1"	"LHb"	1.55602900395706	"MHb"	0.966454825456282	1.61003801002538	21	"LHb/MHb: 1.61"	"Broad"
"PCDH11X"	"LHb"	2.95544691645883	"Excit.Thal"	1.83753023005391	1.60838002451373	22	"LHb/Excit.Thal: 1.608"	"Broad"
"LINC01876"	"LHb"	1.30828647649185	"MHb"	0.818059685272595	1.59925553116079	23	"LHb/MHb: 1.599"	"Broad"
"KAZN-AS1"	"LHb"	0.817573512696344	"MHb"	0.512097323500675	1.59651979258053	24	"LHb/MHb: 1.597"	"Broad"
"RFTN1"	"LHb"	2.29341893748639	"Endo"	1.44014883484316	1.59248744435234	25	"LHb/Endo: 1.592"	"Broad"
"LGI2"	"LHb"	0.956917186128921	"MHb"	0.611960481641573	1.56369114483015	26	"LHb/MHb: 1.564"	"Broad"
"OVCH1"	"LHb"	1.00655927463424	"MHb"	0.655468354027123	1.53563367087069	27	"LHb/MHb: 1.536"	"Broad"
"ZNF235"	"LHb"	1.31191685263945	"Excit.Thal"	0.85601569753935	1.53258504068396	28	"LHb/Excit.Thal: 1.533"	"Broad"
"ZNF208"	"LHb"	1.13334607855466	"MHb"	0.742662474203001	1.52605809223218	29	"LHb/MHb: 1.526"	"Broad"
"LINC01572"	"LHb"	1.04489901822882	"Excit.Thal"	0.687773137956956	1.51924953238609	30	"LHb/Excit.Thal: 1.519"	"Broad"
"STS"	"LHb"	1.80929592521654	"Excit.Thal"	1.19532920979751	1.51363817631716	31	"LHb/Excit.Thal: 1.514"	"Broad"
"SLC12A8"	"LHb"	0.937309012248913	"MHb"	0.621342428967458	1.50852246450726	32	"LHb/MHb: 1.509"	"Broad"
"LINC00886"	"LHb"	0.827317228655246	"MHb"	0.55231794400155	1.49790032650637	33	"LHb/MHb: 1.498"	"Broad"
"AL357873.1"	"LHb"	0.754239659980255	"MHb"	0.503621883369989	1.49763083155413	34	"LHb/MHb: 1.498"	"Broad"
"CCDC85A"	"LHb"	3.11189682316595	"Excit.Thal"	2.08447879756934	1.49288965030235	35	"LHb/Excit.Thal: 1.493"	"Broad"
"CLVS2"	"LHb"	2.37067365947267	"MHb"	1.59080858036591	1.49023187876406	36	"LHb/MHb: 1.49"	"Broad"
"SLC7A14"	"LHb"	1.95825633021295	"Excit.Thal"	1.31419261648516	1.49008319301804	37	"LHb/Excit.Thal: 1.49"	"Broad"
"ARHGAP28"	"LHb"	1.01401770517112	"MHb"	0.688516946352744	1.47275635050472	38	"LHb/MHb: 1.473"	"Broad"
"TMEM196"	"LHb"	1.17806584511212	"Excit.Thal"	0.807181945875472	1.4594799241135	39	"LHb/Excit.Thal: 1.459"	"Broad"
"FAM81A"	"LHb"	0.774193506439367	"Excit.Thal"	0.533745922534512	1.45049071806128	40	"LHb/Excit.Thal: 1.45"	"Broad"
"AC007614.1"	"LHb"	1.99846454870139	"MHb"	1.38280455340017	1.44522560602464	41	"LHb/MHb: 1.445"	"Broad"
"KIAA1217"	"LHb"	3.22585829314155	"Excit.Thal"	2.23535937814072	1.44310499899336	42	"LHb/Excit.Thal: 1.443"	"Broad"
"PXDNL"	"LHb"	0.899519085611973	"Excit.Thal"	0.625977895873542	1.43698218665806	43	"LHb/Excit.Thal: 1.437"	"Broad"
"CLEC2L"	"LHb"	1.12895099004364	"Excit.Thal"	0.790013327184575	1.42902777864136	44	"LHb/Excit.Thal: 1.429"	"Broad"
"EPHA5"	"LHb"	2.92207179013314	"Excit.Thal"	2.05268978025826	1.42353307267185	45	"LHb/Excit.Thal: 1.424"	"Broad"
"PRKCB"	"LHb"	3.53520235142784	"MHb"	2.49855208112872	1.41490040497007	46	"LHb/MHb: 1.415"	"Broad"
"ADCY6"	"LHb"	0.529699996900957	"Inhib.Thal"	0.374563377318507	1.41417989311467	47	"LHb/Inhib.Thal: 1.414"	"Broad"
"DCHS2"	"LHb"	1.08140943772648	"Excit.Thal"	0.764778038175229	1.414017379875	48	"LHb/Excit.Thal: 1.414"	"Broad"
"GLIS1"	"LHb"	1.13422513557644	"Excit.Thal"	0.808587818627338	1.40272350071005	49	"LHb/Excit.Thal: 1.403"	"Broad"
"GREB1L"	"LHb"	2.42081903001434	"Oligo"	1.73600576122973	1.3944763802509	50	"LHb/Oligo: 1.394"	"Broad"
"LINC01210"	"Inhib.Thal"	1.72878801668716	"OPC"	0.0412591375113025	41.9007308675218	1	"Inhib.Thal/OPC: 41.901"	"Broad"
"LINC02253"	"Inhib.Thal"	1.84033584426274	"Excit.Thal"	0.0444234668423158	41.4271099280734	2	"Inhib.Thal/Excit.Thal: 41.427"	"Broad"
"CASR"	"Inhib.Thal"	1.39328600037564	"Excit.Thal"	0.0665592453185956	20.9330198037323	3	"Inhib.Thal/Excit.Thal: 20.933"	"Broad"
"GATA3"	"Inhib.Thal"	1.00373767528667	"OPC"	0.052482402586667	19.1252234237779	4	"Inhib.Thal/OPC: 19.125"	"Broad"
"GAD2"	"Inhib.Thal"	3.24197629713019	"OPC"	0.201845547109443	16.0616686548569	5	"Inhib.Thal/OPC: 16.062"	"Broad"
"KIT"	"Inhib.Thal"	3.14555026297893	"Endo"	0.319704499652179	9.83893021962817	6	"Inhib.Thal/Endo: 9.839"	"Broad"
"SHISA8"	"Inhib.Thal"	0.719860646862364	"MHb"	0.0797025283009461	9.0318420532943	7	"Inhib.Thal/MHb: 9.032"	"Broad"
"OTX2"	"Inhib.Thal"	1.59569256683763	"MHb"	0.206126334304416	7.74133286861368	8	"Inhib.Thal/MHb: 7.741"	"Broad"
"DMBX1"	"Inhib.Thal"	0.665304731228695	"Endo"	0.0924594684280141	7.19563655880933	9	"Inhib.Thal/Endo: 7.196"	"Broad"
"SYNDIG1L"	"Inhib.Thal"	1.29375093707743	"Excit.Thal"	0.185059664677293	6.99099363080266	10	"Inhib.Thal/Excit.Thal: 6.991"	"Broad"
"CPLX3"	"Inhib.Thal"	1.15016077179072	"Endo"	0.165232029097068	6.96088269372426	11	"Inhib.Thal/Endo: 6.961"	"Broad"
"HRH1"	"Inhib.Thal"	1.01843692264132	"Excit.Thal"	0.155009428298877	6.57016114321547	12	"Inhib.Thal/Excit.Thal: 6.57"	"Broad"
"MYO3B"	"Inhib.Thal"	2.17679589297932	"Excit.Thal"	0.331525134897896	6.56600560210837	13	"Inhib.Thal/Excit.Thal: 6.566"	"Broad"
"AL390957.1"	"Inhib.Thal"	1.51472892988188	"Excit.Thal"	0.251188772536693	6.03024137816754	14	"Inhib.Thal/Excit.Thal: 6.03"	"Broad"
"AC246817.2"	"Inhib.Thal"	1.17359127090089	"Astrocyte"	0.201957011442517	5.811094462719	15	"Inhib.Thal/Astrocyte: 5.811"	"Broad"
"KCNIP2"	"Inhib.Thal"	1.13951146207924	"Astrocyte"	0.199571086664941	5.70980236226484	16	"Inhib.Thal/Astrocyte: 5.71"	"Broad"
"SMAD9"	"Inhib.Thal"	1.69597198886947	"Astrocyte"	0.305231183645209	5.55635229865903	17	"Inhib.Thal/Astrocyte: 5.556"	"Broad"
"AC016717.2"	"Inhib.Thal"	1.29638741605289	"LHb"	0.239790679070213	5.40632947485543	18	"Inhib.Thal/LHb: 5.406"	"Broad"
"GREM2"	"Inhib.Thal"	2.34547919253248	"Excit.Thal"	0.436119637081287	5.3780637079988	19	"Inhib.Thal/Excit.Thal: 5.378"	"Broad"
"AL359436.1"	"Inhib.Thal"	0.77832072210572	"Excit.Thal"	0.147895959883537	5.2626232840885	20	"Inhib.Thal/Excit.Thal: 5.263"	"Broad"
"RBM15-AS1"	"Inhib.Thal"	0.683740658138615	"Excit.Thal"	0.130299670290523	5.24744733900027	21	"Inhib.Thal/Excit.Thal: 5.247"	"Broad"
"AL359546.1"	"Inhib.Thal"	1.30961640019723	"Endo"	0.255225809133464	5.13120677193111	22	"Inhib.Thal/Endo: 5.131"	"Broad"
"RASD2"	"Inhib.Thal"	0.812631019749159	"Endo"	0.168443233660926	4.82436131204281	23	"Inhib.Thal/Endo: 4.824"	"Broad"
"OTX2-AS1"	"Inhib.Thal"	4.75873698317385	"Astrocyte"	1.15028403749577	4.13701036270474	24	"Inhib.Thal/Astrocyte: 4.137"	"Broad"
"HPCA"	"Inhib.Thal"	1.11241433758061	"MHb"	0.274017316231288	4.05964978009514	25	"Inhib.Thal/MHb: 4.06"	"Broad"
"AP003049.2"	"Inhib.Thal"	0.818261025136691	"MHb"	0.206694733379719	3.95878991088497	26	"Inhib.Thal/MHb: 3.959"	"Broad"
"MEIS2"	"Inhib.Thal"	4.2329863410459	"Oligo"	1.10356952844921	3.83572238261626	27	"Inhib.Thal/Oligo: 3.836"	"Broad"
