"Ontology"	"DEGs_set"	"ID"	"Description"	"Count"	"GeneRatio"	"BgRatio"	"FoldEnrichment"	"pvalue"	"p.adjust"	"geneID"
"BP"	"Up"	"GO:0009060"	"aerobic respiration"	56	"56/1690"	"141/12591"	2.95898275210878	5.28714530312569e-15	2.87832190302163e-11	"Snca, Cox6b1, Uqcrq, Bdnf, Atp5mg, Cox7b, Uqcr10, Ndufb6, Uqcrh, Cox6c, Atp5me, Mdh1, Atp5mf, Atp5f1d, Cox6a1, Coq9, Dlat, Atp5pd, Cox7c, Cycs, Cox5a, Dld, Stoml2, Cox4i1, Ndufs3, Uqcrfs1, Sucla2, Gadd45gip1, Rnf139, Cox7a2l2, Atp5po, Atp5pb, Atp5if1, Kgd4, Tmem135, Ndufv2, Pdha1, Bnip3, Cox5b, Atp5pf, Ndufc2, Ndufa12, Cyc1, Idh3b, Ndufa8, Ndufa10l1, Sdhd, Ak4, Fh, Atp5f1b, Bloc1s1, Cox7a2l, Adsl, Ndufv1, Akt1, Suclg1"
"BP"	"Up"	"GO:0006119"	"oxidative phosphorylation"	44	"44/1690"	"97/12591"	3.37951564692247	1.51353515474211e-14	4.11984269120801e-11	"Snca, Cox6b1, Uqcrq, Bdnf, Atp5mg, Cox7b, Uqcr10, Ndufb6, Uqcrh, Cox6c, Atp5me, Atp5mf, Atp5f1d, Cox6a1, Coq9, Atp5pd, Cox7c, Cycs, Cox5a, Dld, Stoml2, Cox4i1, Ndufs3, Uqcrfs1, Gadd45gip1, Rnf139, Cox7a2l2, Atp5po, Atp5pb, Atp5if1, Tmem135, Ndufv2, Cox5b, Atp5pf, Ndufc2, Ndufa12, Cyc1, Ndufa8, Ndufa10l1, Sdhd, Ak4, Atp5f1b, Cox7a2l, Ndufv1"
"BP"	"Up"	"GO:0006091"	"generation of precursor metabolites and energy"	106	"106/1690"	"384/12591"	2.05659208579882	6.73019579326689e-14	1.22130619661817e-10	"Snca, Mt3, Aldoc, Pgam1, Cox6b1, Uqcrq, Rpe, Bdnf, Atp5mg, Ndufb3, Cox7b, Uqcr10, Ndufb6, Tpi1, Hsd11b1, Uqcrh, Ldha, Atg12, Ndufa5, Cox6c, Atp5me, Mdh1, Atp5mf, Taco1, Thap11, Atp5f1d, Cox6a1, Coq9, Dlat, Atp5pd, Uchl1, Cox7c, Cycs, Rb1cc1, Cox5a, Oxct1, Dld, Eno1, Ptges3, Tigar, Stoml2, Dyrk2, Cox4i1, Ugp2, Ndufs3, Slc1a3, Uqcrfs1, Pfkp, Fdx2, Sucla2, Gadd45gip1, Ppp1r3g, Ppp1cc, Rnf139, Cox7a2l2, Mtln, Atp5po, Foxk2, Pum2, Atp5pb, Atp5if1, Kgd4, Ppp1cb, Tmem135, Ndufv2, Pdha1, Chchd4, Eif6, Gpi, Bnip3, Htr2a, Mif, Gyg1, Cox5b, Hmgb1, Phb2, Inpp5k, Prkag2, Atp5pf, Ndufc2, Ndufa12, Cyc1, Idh3b, Cisd1, Lipa, Ndufa8, Pkm, Ndufa10l1, Taldo1, Pik3ca, Sdhd, Gapdh, Ak4, Fh, Atp5f1b, Tpi1l2, Bloc1s1, Ppp2ca, Cox7a2l, Adsl, Ndufv1, Gabarapl1, Sco1, Akt1, Suclg1, Ppp1r3d"
"BP"	"Up"	"GO:0007005"	"mitochondrion organization"	111	"111/1690"	"416/12591"	1.98793951979973	2.03719674351305e-13	2.77262476792126e-10	"Cck, Snca, Rab29, Calm1, Vps13a, Dynll1, Calm2, Sdhaf3, Rap1gds1, Rab5if, Opa3, Hsp90aa1, Spire1, Mtfp1, Mmp9, Ndufb3, Agtpbp1, Ndufa2, Higd2a, Ndufb6, Marchf5, Sdhaf1, Ppp2cb, Akt3, Tmem14a, Ndufa5, Rrm2b, Micu1, Bcl2l2, Jtb, Taco1, Cibar1, Armc1, Atp5f1d, Dnm1l, Golph3, Slc25a46, Hspd1, Stoml2, Ndufs5, Bad, Ndufs3, Cdk5, Vps35, Uqcrfs1, Ttc19, Ndufb5, Bloc1s2, Ndufa1, Ppp2r2b, Hspa4, Pum2, Rab3a, Atp5if1, Tomm40, Ghitm, Coa4, Tmem135, Them4, Slc30a9, Bnip3l, Micos13, Fam162a, Mff, Rhot2, Higd1a, Slc25a4, Dmac1, Chchd4, Mef2a, Bnip3, Ndufc1, Rab38, Atf2, Mpv17l, Pam16, Tomm22, Phb2, Ndufb7, Ndufc2, Ndufa12, Synj2bp, Stat2, Ndufaf7, Ndufb4, Ndufaf4, Coa3, Lipa, Pex5, Tfam, Ndufa8, Vdac2, Ndufa10l1, Cd24, Gclm, Timm21, Slirp, Tmem126b, Ndufa6, Twnk, Moap1, Gdap1, Immt, Tmem126a, Ndufaf3, Jun, Cox7a2l, Slc25a5, Sco1, Akt1, Prmt6"
"BP"	"Up"	"GO:0045333"	"cellular respiration"	63	"63/1690"	"185/12591"	2.53712777866624	4.70225280389887e-13	5.11981285288509e-10	"Snca, Cox6b1, Uqcrq, Bdnf, Atp5mg, Cox7b, Uqcr10, Ndufb6, Uqcrh, Ndufa5, Cox6c, Atp5me, Mdh1, Atp5mf, Atp5f1d, Cox6a1, Coq9, Dlat, Atp5pd, Cox7c, Cycs, Cox5a, Dld, Stoml2, Cox4i1, Ndufs3, Slc1a3, Uqcrfs1, Sucla2, Gadd45gip1, Rnf139, Cox7a2l2, Mtln, Atp5po, Pum2, Atp5pb, Atp5if1, Kgd4, Tmem135, Ndufv2, Pdha1, Chchd4, Bnip3, Cox5b, Atp5pf, Ndufc2, Ndufa12, Cyc1, Idh3b, Cisd1, Ndufa8, Ndufa10l1, Pik3ca, Sdhd, Ak4, Fh, Atp5f1b, Bloc1s1, Cox7a2l, Adsl, Ndufv1, Akt1, Suclg1"
"BP"	"Up"	"GO:1902600"	"proton transmembrane transport"	46	"46/1690"	"116/12591"	2.95442766782289	1.53478396373409e-12	1.39256064976139e-09	"Atp6ap2, Atp6v1e1, Atp5mc2, Atp6v0e2, Atp6v1g2, Atp5mg, Chp1, Uqcrh, Atp6v1b2, Cox6c, Atp6v0d1, Atp5me, Atp6v1d, Atp5mf, Taco1, Atp6v1c1, Atp5f1d, Atp5pd, Cox5a, Ndufs3, Uqcrfs1, Cyb5b, Slc17a7, Atp5po, Atp6ap1, Atp5pb, Ghitm, Atp6v1h, Ndufv2, Atp5mc3, Slc25a4, Tesc, Slc15a2, Cox5b, Phb2, Atp5pf, Ndufb7, Atp6v1a, Ndufa10l1, Atp5f1b, Ndufv1, Rnasek, Taf3, Slc25a5, Sco1, Dmac2l"
"BP"	"Up"	"GO:0015980"	"energy derivation by oxidation of organic compounds"	80	"80/1690"	"275/12591"	2.1673587950511	4.73154813119753e-12	3.67979257517705e-09	"Snca, Mt3, Cox6b1, Uqcrq, Bdnf, Atp5mg, Cox7b, Uqcr10, Ndufb6, Uqcrh, Ldha, Atg12, Ndufa5, Cox6c, Atp5me, Mdh1, Atp5mf, Atp5f1d, Cox6a1, Coq9, Dlat, Atp5pd, Cox7c, Cycs, Rb1cc1, Cox5a, Dld, Ptges3, Tigar, Stoml2, Dyrk2, Cox4i1, Ugp2, Ndufs3, Slc1a3, Uqcrfs1, Sucla2, Gadd45gip1, Ppp1r3g, Ppp1cc, Rnf139, Cox7a2l2, Mtln, Atp5po, Pum2, Atp5pb, Atp5if1, Kgd4, Ppp1cb, Tmem135, Ndufv2, Pdha1, Chchd4, Bnip3, Gyg1, Cox5b, Hmgb1, Inpp5k, Prkag2, Atp5pf, Ndufc2, Ndufa12, Cyc1, Idh3b, Cisd1, Ndufa8, Ndufa10l1, Pik3ca, Sdhd, Ak4, Fh, Atp5f1b, Bloc1s1, Cox7a2l, Adsl, Ndufv1, Gabarapl1, Akt1, Suclg1, Ppp1r3d"
"BP"	"Up"	"GO:0006457"	"protein folding"	57	"57/1690"	"168/12591"	2.52777895181741	7.2528679377967e-12	4.93557663167066e-09	"Hspa5, Chordc1, Mkks, Ahsa1, Pdia6, Dnaja1, Hsp90b1, Fkbp4, Calr, Dnajb11, Hspa8, Pdia4, Hsp90ab1, Hsp90aa1, Dnajb1, Hyou1, Ppib, Cct6a, Dnajc10, Sdf2l1, Sdf2, Hspe1, Ppid, Cct4, Pfdn5, Selenof, Hspd1, Ptges3, Dnaja2, Dnajc3, Tcp1, Cdc123, Dnaja4, Fkbp8, Cct3, Ric8a, Hspa4, Hsph1, Cct7, Fkbp11, Cct8, Ranbp2, Chchd4, Ttc4, Nudc, Cryab, Grpel1, Ttc9, Dnajb5, Dnajc5, Pdcl, Erp29, Nppc, Dnajb6, Erp44, RT1-DMa, Pfdn1"
"BP"	"Up"	"GO:0097250"	"mitochondrial respirasome assembly"	36	"36/1690"	"82/12591"	3.27086159618993	1.22722512823805e-11	7.42334844236438e-09	"Sdhaf3, Rab5if, Ndufb3, Ndufa2, Higd2a, Ndufb6, Sdhaf1, Ndufa5, Taco1, Atp5f1d, Ndufs5, Ndufs3, Uqcrfs1, Ttc19, Ndufb5, Ndufa1, Coa4, Higd1a, Dmac1, Ndufc1, Ndufb7, Ndufc2, Ndufa12, Ndufaf7, Ndufb4, Ndufaf4, Coa3, Ndufa8, Ndufa10l1, Timm21, Tmem126b, Ndufa6, Tmem126a, Ndufaf3, Cox7a2l, Sco1"
"BP"	"Up"	"GO:0019646"	"aerobic electron transport chain"	26	"26/1690"	"49/12591"	3.95321821036107	4.53210508411866e-11	2.4672780077942e-08	"Uqcrq, Bdnf, Cox7b, Uqcr10, Ndufb6, Uqcrh, Cox6a1, Coq9, Cox7c, Cycs, Cox5a, Dld, Cox4i1, Ndufs3, Uqcrfs1, Rnf139, Cox7a2l2, Ndufv2, Cox5b, Ndufc2, Cyc1, Ndufa8, Ndufa10l1, Sdhd, Cox7a2l, Ndufv1"
