GENE             CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
ENSG00000169885    1    1914827    1917296      1       1  1154267       4.4478    4.337e-06
ENSG00000196581    1    4654732    4792534      1       1  1154267       3.9359    4.145e-05
ENSG00000204362    1   17189783   17197617      3       1  1154267        3.892   4.9703e-05
ENSG00000282843    1   17193232   17201733      1       1  1154267       3.7614    8.449e-05
ENSG00000076864    1   21596215   21669363      5       1  1154267        4.355   6.6538e-06
ENSG00000142920    1   33081104   33120530      2       1  1154267       4.1563    1.617e-05
ENSG00000116525    1   33145402   33182059      1       1  1154267       3.7799    7.845e-05
ENSG00000229528    1   40863914   40876670      9       1  1154267       3.8328   6.3334e-05
ENSG00000211452    1   53891239   53911086      1       1  1154267       4.3096    8.176e-06
ENSG00000116212    1   53946077   53968168      1       1  1154267       4.3759    6.046e-06
ENSG00000079739    1   63593276   63660245      1       1  1154267       3.7222    9.876e-05
ENSG00000225087    1   72748921   72899140     62       2  1154267        4.223   1.2056e-05
ENSG00000233973    1   73306170   73355253     61       2  1154267       4.6176   1.9412e-06
ENSG00000225598    1   80373364   80374621      2       1  1154267       3.8679    5.488e-05
ENSG00000188641    1   97077743   97995000      8       1  1154267       4.3148   7.9886e-06
ENSG00000225206    1   97933474   98049863      4       1  1154267       4.1436   1.7094e-05
ENSG00000226053    1   98210747   98272658      1       1  1154267       3.8462    5.999e-05
ENSG00000171385    1  111770662  111989155      3       1  1154267       4.2155   1.2461e-05
ENSG00000134245    1  112466541  112530165      3       1  1154267       4.2564   1.0386e-05
ENSG00000007341    1  112523518  112620825      1       1  1154267       4.0776    2.275e-05
ENSG00000116489    1  112619173  112671619      8       1  1154267       3.8647   5.5614e-05
ENSG00000155363    1  112673141  112700746      1       1  1154267       4.1575    1.609e-05
ENSG00000143552    1  153992685  154155116      6       1  1154267       3.8672   5.5041e-05
ENSG00000143549    1  154155304  154194648     16       1  1154267       4.1747   1.4922e-05
ENSG00000143569    1  154220179  154271510     15       1  1154267       4.2298   1.1695e-05
ENSG00000122223    1  160830160  160862855      1       1  1154267       4.2939    8.777e-06
ENSG00000143195    1  166895711  166975482      1       1  1154267       3.9399    4.075e-05
ENSG00000010165    1  171781664  171814023     34       1  1154267       4.0775   2.2757e-05
ENSG00000117593    1  173824503  173858546      4       1  1154267       3.7575   8.5817e-05
ENSG00000185278    1  173868082  173903549     23       2  1154267       4.2928   8.8227e-06
ENSG00000117601    1  173903804  173917378      2       1  1154267       3.6629   0.00012467
ENSG00000227373    1  174115300  174160004     11       1  1154267       4.4081   5.2152e-06
ENSG00000152061    1  174159410  174995308    104       2  1154267       4.3121   8.0847e-06
ENSG00000198216    1  181317690  181808084      1       1  1154267        4.012     3.01e-05
ENSG00000134376    1  197268204  197478455     18       1  1154267       4.1939   1.3712e-05
ENSG00000230260    1  197437976  197447469      2       1  1154267       4.2316     1.16e-05
ENSG00000213047    1  197504748  197775696     13       1  1154267       4.2472   1.0825e-05
ENSG00000224901    1  197757319  197761965      1       1  1154267       4.2159    1.244e-05
ENSG00000081237    1  198638457  198757476      1       1  1154267       3.7636    8.373e-05
ENSG00000233410    1  199006040  199021037      1       1  1154267       3.7495     8.86e-05
ENSG00000235492    1  199016133  199076735      1       1  1154267       3.8729    5.378e-05
ENSG00000231718    1  199148598  199393307      2       1  1154267       3.7818   7.7864e-05
ENSG00000235749    1  247639749  247747062      2       1  1154267       3.7328     9.47e-05
ENSG00000205795    2   10056780   10080944      4       1  1154267       3.8312   6.3759e-05
ENSG00000138075    2   43812472   43838865      1       1  1154267       3.7245    9.785e-05
ENSG00000143921    2   43831942   43882987      1       1  1154267       4.0492     2.57e-05
ENSG00000179915    2   49918505   51225575    152      10  1154267       5.7428   4.6562e-09
ENSG00000231918    2   51032601   52407917     18       1  1154267       4.8469   6.2688e-07
ENSG00000143951    2   63121383   63827843      8       1  1154267       3.8694   5.4552e-05
ENSG00000066032    2   79185231   80648861      6       1  1154267       4.3255     7.61e-06
ENSG00000232597    2  103856659  103880209      2       1  1154267       4.6117   1.9966e-06
ENSG00000256637    2  103874310  104077778      2       1  1154267       3.6144   0.00015054
ENSG00000237880    2  107385632  107542649    218       1  1154267       4.1714   1.5135e-05
ENSG00000224568    2  107529487  107556326     18       1  1154267       4.1855   1.4225e-05
ENSG00000232991    2  107754112  107822129      2       1  1154267       3.6905    0.0001119
ENSG00000115665    2  107986523  108013994      1       1  1154267       4.0536    2.522e-05
ENSG00000236859    2  121649650  121728481      2       1  1154267       3.7839   7.7204e-05
ENSG00000155052    2  124025287  124915287     44       2  1154267       4.1708   1.5178e-05
ENSG00000152127    2  134119983  134454621      2       1  1154267       3.7388    9.244e-05
ENSG00000168702    2  140231423  142131701      1       1  1154267       3.8786    5.253e-05
ENSG00000075884    2  143091362  143768352      3       2  1154267       4.6799   1.4351e-06
ENSG00000228655    2  143295421  143480789      2       1  1154267       3.9877   3.3358e-05
ENSG00000257640    2  143295586  143572105      2       1  1154267       3.9877   3.3358e-05
ENSG00000226674    2  144667967  145262988      1       1  1154267       3.7206    9.936e-05
ENSG00000121989    2  147844517  147930826      1       1  1154267       5.4868    2.046e-08
ENSG00000115947    2  147930397  148021604      1       1  1154267       5.0374     2.36e-07
ENSG00000204406    2  148021011  148516971      3       1  1154267       4.6103   2.0102e-06
ENSG00000153234    2  156324432  156342348      1       1  1154267       3.7751    7.998e-05
ENSG00000123636    2  159318979  159616692     24       1  1154267       4.0526   2.5327e-05
ENSG00000228222    2  167293171  167558333      1       1  1154267       3.7312    9.528e-05
ENSG00000235335    2  167814774  167941144      5       1  1154267       3.9251   4.3347e-05
ENSG00000198648    2  167954020  168248141     11       1  1154267       3.9834   3.3962e-05
ENSG00000231453    2  174326027  174330643      1       1  1154267       4.9562    3.595e-07
ENSG00000217236    2  174334946  174338492      4       2  1154267       5.1015    1.685e-07
ENSG00000138433    2  174348022  174395715     44       3  1154267       5.9396   1.4288e-09
ENSG00000144306    2  174395730  174429575     65       2  1154267       4.4107   5.1518e-06
ENSG00000163328    2  174431571  174487094     31       1  1154267       4.3051    8.346e-06
ENSG00000235056    2  195003711  195026370      6       1  1154267       4.0438   2.6299e-05
