GENE             CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P
ENSG00000243485    1      29554      31109      1       1  9907      0.51837       0.3021
ENSG00000186092    1      65419      71585      1       1  9907      -1.2569       0.8956
ENSG00000238009    1      89295     133723      9       4  9907       1.0005      0.15853
ENSG00000235146    1     523009     530148      4       2  9907      -1.0583      0.85505
ENSG00000237491    1     714150     745440     47      10  9704      0.51319      0.30391
ENSG00000177757    1     752751     755217     15       3  9907      0.23189      0.40831
ENSG00000225880    1     761586     762902     11       2  9907      0.16485      0.43453
ENSG00000230368    1     803451     812283     18       6  9907       -1.116      0.86779
ENSG00000272438    1     840214     851356     50       9  8950   -0.0012454       0.5005
ENSG00000223764    1     852245     856396     24       6  7932     0.020893      0.49167
ENSG00000187634    1     859308     879961    105      22  9073       1.8941     0.029108
ENSG00000188976    1     879584     894689     61      11  9549       1.1104      0.13341
ENSG00000187961    1     895967     901095     31       7  9659       1.9283      0.02691
ENSG00000187583    1     901877     911245     43      18  9529      0.63384      0.26309
ENSG00000187642    1     910584     917473     25       6  9686      0.26673      0.39484
ENSG00000272512    1     931346     933431      9       4  9907      0.64395       0.2598
ENSG00000188290    1     934342     935552      5       2  9907     0.083055       0.4669
ENSG00000187608    1     936518     949921     42       9  9613      0.63004      0.26433
ENSG00000224969    1     947377     948573      2       1  9907       1.6435     0.050138
ENSG00000188157    1     955503     991498    120      15  9629       1.3719     0.085046
ENSG00000237330    1    1006346    1009687     12       5  9064       2.0923     0.018206
ENSG00000131591    1    1017198    1051741    129      16  9826      0.85731      0.19564
ENSG00000223823    1    1072397    1079436     15       5  9907        2.018     0.021798
ENSG00000272141    1    1104737    1105723      4       2  9603      -0.2411      0.59526
ENSG00000205231    1    1108436    1114935     48       7  9772     -0.99427      0.83995
ENSG00000162571    1    1109264    1133315    158      20  9848     0.015264      0.49391
ENSG00000186891    1    1138888    1142071     10       2  9907      -1.0688      0.85743
ENSG00000186827    1    1146706    1149518      9       4  9907     -0.74293      0.77124
ENSG00000078808    1    1152288    1167411    103       6  9861      -0.2954      0.61616
ENSG00000176022    1    1167645    1170421      8       2  9907      -1.0716      0.85804
ENSG00000184163    1    1177826    1182102     14       4  9745      -2.3605      0.99087
ENSG00000260179    1    1185157    1186714     10       4  9907      -1.7426       0.9593
ENSG00000160087    1    1189289    1209265     52       9  9779      -1.6189      0.94726
ENSG00000230415    1    1210603    1215800     26       6  9577      -1.1377      0.87238
ENSG00000162572    1    1215816    1227409     52      19  9764     -0.73418      0.76858
ENSG00000131584    1    1227756    1244989     67      13  9586      0.11707       0.4534
ENSG00000169972    1    1243947    1247057      5       3  9907       1.4519      0.07327
ENSG00000127054    1    1246965    1260071     25       8  9907       0.9429      0.17287
ENSG00000224051    1    1260136    1264277     12       3  9907       1.1779      0.11941
ENSG00000169962    1    1266694    1270686     15       5  9779      0.56858      0.28482
ENSG00000107404    1    1270656    1284730     45       9  9822      0.93684      0.17442
ENSG00000162576    1    1288069    1297157     30       6  9881       1.2336      0.10868
ENSG00000175756    1    1309110    1310875      9       4  9907      0.46524      0.32088
ENSG00000221978    1    1321091    1334708     26       9  9863       1.0034      0.15784
ENSG00000242485    1    1337288    1342693     14       5  9907      0.47065      0.31895
ENSG00000272455    1    1344476    1345998     10       3  9907      0.53589      0.29602
ENSG00000235098    1    1353800    1357149     11       4  9266      0.26428      0.39578
ENSG00000225905    1    1355625    1358071      8       3  9907     0.044078      0.48242
ENSG00000205116    1    1361508    1363167      9       3  9907     -0.85574      0.80393
ENSG00000225285    1    1365919    1369953     17       5  9907      0.38629      0.34964
ENSG00000179403    1    1370241    1378262     21       5  9907         1.13      0.12925
ENSG00000215915    1    1385069    1405538     90      14  9858      0.61352      0.26977
ENSG00000160072    1    1407149    1433228    117      12  9852     -0.07536      0.53004
ENSG00000197785    1    1447531    1470067    104      17  9709      -2.1119      0.98265
ENSG00000205090    1    1470554    1475833     10       4  9785      0.30948      0.37848
ENSG00000160075    1    1477053    1510249    115      15  9629      0.77632      0.21878
ENSG00000215014    1    1510355    1512455      9       3  9907      0.75832      0.22413
ENSG00000228594    1    1533392    1535476      2       1  9907      0.63092      0.26405
