GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000157916    1    2391775    2405444      2       1  639063       4.0778    2.273e-05
ENSG00000189337    1   13892792   15118043      1       1  639063       4.3422    7.052e-06
ENSG00000090686    1   21678298   21783606      2       1  639063       3.9908   3.2928e-05
ENSG00000169174    1   55039548   55064852     12       1  639063       4.0456   2.6092e-05
ENSG00000162402    1   55066359   55215113     62       2  639063       4.0437   2.6309e-05
ENSG00000231090    1   55217645   55324691     34       2  639063       4.6246   1.8763e-06
ENSG00000132692    1  156641390  156659532      1       1  639063       4.0391    2.683e-05
ENSG00000229953    1  156646507  156661424      1       1  639063       4.0391    2.683e-05
ENSG00000117143    1  162561506  162599842      1       1  639063       3.7619     8.43e-05
ENSG00000226486    1  188905688  189037262     39       1  639063       4.2475    1.081e-05
ENSG00000135776    1  229516582  229558695      1       1  639063       3.8791    5.243e-05
ENSG00000270106    1  231528653  231819244      1       1  639063       3.9232    4.369e-05
ENSG00000116984    1  236795281  236903981      3       1  639063       4.3315   7.4053e-06
ENSG00000133019    1  239386565  239915452      7       1  639063       4.1692   1.5281e-05
ENSG00000169604    2   69013178   69249327      2       1  639063        4.349   6.8374e-06
ENSG00000075884    2  143091362  143768352      1       1  639063       3.8599    5.671e-05
ENSG00000257640    2  143295586  143572105      1       1  639063       3.8599    5.671e-05
ENSG00000196639    3   11137093   11263557      1       1  639063       3.7974    7.311e-05
ENSG00000121440    3   73382433   73624940      3       1  639063       3.9547    3.832e-05
ENSG00000169855    3   78597240   79767815      4       1  639063        4.093   2.1289e-05
ENSG00000175161    3   84958981   86074429      1       1  639063       3.9101    4.612e-05
ENSG00000091986    3  112596794  112649530      2       1  639063        4.397    5.489e-06
ENSG00000185565    3  115802363  117139389      9       1  639063       4.1721    1.509e-05
ENSG00000145147    4   20253260   20620561      1       1  639063       3.8111    6.917e-05
ENSG00000154274    4   37453941   37623495      1       1  639063       3.8546    5.796e-05
ENSG00000181826    4   37590800   37686376      1       1  639063       3.8546    5.796e-05
ENSG00000075539    4   48497361   48780322      3       1  639063       4.1881   1.4067e-05
ENSG00000109180    4   48805212   48861817      1       1  639063       3.8761    5.308e-05
ENSG00000248256    4   48852008   48860203      1       1  639063       3.8761    5.308e-05
ENSG00000248049    4   67701280   68080952     13       1  639063       4.0177   2.9387e-05
ENSG00000187054    4   67909385   67964140     12       1  639063        3.985   3.3734e-05
ENSG00000196159    4  125316399  125492932      1       1  639063       3.8125    6.879e-05
ENSG00000248210    4  149154295  149278123      2       1  639063       4.4852   3.6423e-06
ENSG00000145545    5    6633343    6674386      2       1  639063       3.9369   4.1278e-05
ENSG00000248677    5    6686325    6707711     10       1  639063       4.0608   2.4457e-05
ENSG00000112941    5    6713007    6757048     17       1  639063       4.0318    2.768e-05
ENSG00000113638    5   40512333   40755975      1       1  639063       3.7638    8.367e-05
ENSG00000164300    5   80111651   80256079      1       1  639063       3.7386    9.251e-05
ENSG00000113319    5   80960672   81230156      1       1  639063       3.7214    9.908e-05
ENSG00000247572    5   81204084   81301560      5       1  639063       3.8484   5.9455e-05
ENSG00000131730    5   81233285   81266397      4       1  639063        3.789    7.562e-05
ENSG00000113749    5  175658030  175710756     11       1  639063       4.0725   2.3258e-05
ENSG00000095951    6   12008762   12164999      1       1  639063       4.3537    6.694e-06
ENSG00000204694    6   29425504   29457071     19       1  639063       3.9713   3.5741e-05
ENSG00000206474    6   29439306   29440977      1       1  639063       3.8962    4.886e-05
ENSG00000204614    6   30136108   30148735      5       1  639063        4.002   3.1408e-05
ENSG00000204613    6   30151945   30160934      5       1  639063       3.8012    7.201e-05
ENSG00000232940    6   33249534   33254989      1       1  639063       3.7331    9.457e-05
ENSG00000223501    6   33250272   33272047      1       1  639063       3.7331    9.457e-05
ENSG00000112038    6  154010496  154246867     37       1  639063       4.0217   2.8894e-05
ENSG00000112562    6  168441151  168673445     27       2  639063       4.2149   1.2496e-05
ENSG00000277149    7   72558744   72828198      5       1  639063       4.3205   7.7823e-06
